question,answer
"What's the rent at 36 W 36th St, Suite 300?",$87.00/SF/year. Monthly Rent is $135213. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 300?",$109.00/SF/year. Monthly Rent is $156778. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 600?",$87.00/SF/year. Monthly Rent is $109069. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 702?",$90.00/SF/year. Monthly Rent is $70658. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 808?",$92.00/SF/year. Monthly Rent is $134443. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 901?",$89.00/SF/year. Monthly Rent is $140294. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 902?",$86.00/SF/year. Monthly Rent is $90637. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 101?",$90.00/SF/year. Monthly Rent is $136328. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 1102?",$94.00/SF/year. Monthly Rent is $94165. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 1103?",$104.00/SF/year. Monthly Rent is $80921. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 15 W 38th St, Suite 1202?",$101.00/SF/year. Monthly Rent is $109046. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 404?",$95.00/SF/year. Monthly Rent is $124189. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 407?",$107.00/SF/year. Monthly Rent is $175765. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 500?",$81.00/SF/year. Monthly Rent is $110930. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 600?",$102.00/SF/year. Monthly Rent is $92684. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 700?",$80.00/SF/year. Monthly Rent is $87153. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 800?",$101.00/SF/year. Monthly Rent is $155321. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 1600?",$86.00/SF/year. Monthly Rent is $127517. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 1606?",$86.00/SF/year. Monthly Rent is $119655. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 1412 Broadway, Suite 2310?",$80.00/SF/year. Monthly Rent is $108733. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 314 E 34th St, Suite 200?",$93.00/SF/year. Monthly Rent is $125620. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 221-223 W 37th St, Suite 300?",$105.00/SF/year. Monthly Rent is $94623. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 14 E 44th St, Suite 400?",$98.00/SF/year. Monthly Rent is $147964. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 14 E 44th St, Suite 500?",$95.00/SF/year. Monthly Rent is $92958. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 202 W 40th St, Suite 200?",$96.00/SF/year. Monthly Rent is $154584. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 202 W 40th St, Suite 500?",$108.00/SF/year. Monthly Rent is $159732. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 202 W 40th St, Suite 903?",$98.00/SF/year. Monthly Rent is $136294. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 2501?",$106.00/SF/year. Monthly Rent is $123649. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite Duplex?",$81.00/SF/year. Monthly Rent is $89964. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 677?",$105.00/SF/year. Monthly Rent is $118729. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1136?",$95.00/SF/year. Monthly Rent is $144875. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 901?",$103.00/SF/year. Monthly Rent is $145470. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1802?",$81.00/SF/year. Monthly Rent is $118631. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1602?",$94.00/SF/year. Monthly Rent is $129007. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1500?",$106.00/SF/year. Monthly Rent is $151730. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1403?",$100.00/SF/year. Monthly Rent is $154925. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1404?",$84.00/SF/year. Monthly Rent is $83979. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1202?",$90.00/SF/year. Monthly Rent is $85680. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 1000?",$93.00/SF/year. Monthly Rent is $139531. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 803?",$92.00/SF/year. Monthly Rent is $73385. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 802?",$103.00/SF/year. Monthly Rent is $101095. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 801?",$91.00/SF/year. Monthly Rent is $91918. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 551?",$98.00/SF/year. Monthly Rent is $92684. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 504?",$106.00/SF/year. Monthly Rent is $115266. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 403?",$98.00/SF/year. Monthly Rent is $80319. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 402?",$108.00/SF/year. Monthly Rent is $138231. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite 726?",$104.00/SF/year. Monthly Rent is $123491. Broker: Will Turner (test1@okadaco.com)
